Subject,Start Date,Start Time,End Date,End Time,Description
"*ОРО Зал DL *ОРО(ПЗПІ-23-)-1; №1",06/09/2025,07:45 AM,06/09/2025,09:20 AM,"*ОРО Зал DL *ОРО(ПЗПІ-23-)-1"
"ІМ Конс DL ПЗПІ-23-2; №1",06/23/2025,09:30 AM,06/23/2025,11:05 AM,"ІМ Конс DL ПЗПІ-23-2"
"ПрПА Пз DL ПЗПІ-23-2; №1",03/17/2025,11:15 AM,03/17/2025,12:50 PM,"ПрПА Пз DL ПЗПІ-23-2"
"ПрПА Лб DL ПЗПІ-23-2; №1",04/07/2025,11:15 AM,04/07/2025,12:50 PM,"ПрПА Лб DL ПЗПІ-23-2"
"ПрПА Лб DL ПЗПІ-23-2; №1",04/28/2025,11:15 AM,04/28/2025,12:50 PM,"ПрПА Лб DL ПЗПІ-23-2"
"ПрПА Лб DL ПЗПІ-23-2; №1",05/19/2025,11:15 AM,05/19/2025,12:50 PM,"ПрПА Лб DL ПЗПІ-23-2"
"ПрПА Лб DL ПЗПІ-23-2; №1",06/02/2025,11:15 AM,06/02/2025,12:50 PM,"ПрПА Лб DL ПЗПІ-23-2"
"ФВ Зал DL ПЗПІ-23-2; №2",06/09/2025,11:15 AM,06/09/2025,12:50 PM,"ФВ Зал DL ПЗПІ-23-2"
"ОПJа Зал DL ПЗПІ-23-2; №1",06/16/2025,11:15 AM,06/16/2025,12:50 PM,"ОПJа Зал DL ПЗПІ-23-2"
"Філ Конс DL ПЗПІ-23-2; №2",06/23/2025,11:15 AM,06/23/2025,12:50 PM,"Філ Конс DL ПЗПІ-23-2"
"ПрПА Пз DL ПЗПІ-23-2; №2",03/17/2025,01:10 PM,03/17/2025,02:45 PM,"ПрПА Пз DL ПЗПІ-23-2"
"ПрПА Лб DL ПЗПІ-23-2; №2",04/07/2025,01:10 PM,04/07/2025,02:45 PM,"ПрПА Лб DL ПЗПІ-23-2"
"ПрПА Лб DL ПЗПІ-23-2; №2",04/28/2025,01:10 PM,04/28/2025,02:45 PM,"ПрПА Лб DL ПЗПІ-23-2"
"ПрПА Лб DL ПЗПІ-23-2; №2",05/19/2025,01:10 PM,05/19/2025,02:45 PM,"ПрПА Лб DL ПЗПІ-23-2"
"ПрПА Лб DL ПЗПІ-23-2; №2",06/02/2025,01:10 PM,06/02/2025,02:45 PM,"ПрПА Лб DL ПЗПІ-23-2"
"ПрПА Конс DL ПЗПІ-23-2; №2",06/16/2025,01:10 PM,06/16/2025,02:45 PM,"ПрПА Конс DL ПЗПІ-23-2"
